onset	duration	sample	value
1620,492	4	405123	201
1624,492	1,008	406123	202
1625,5	0,992	406375	203
1626,492	3,536	406623	2
1630,028	1,008	407507	102
1631,036	3,984	407759	200
1635,02	4	408755	201
1639,02	1,008	409755	202
1640,028	0,992	410007	203
1641,02	3,616	410255	1
1644,636	0,992	411159	101
1645,628	4	411407	200
1649,628	4	412407	201
1653,628	0,992	413407	202
1654,62	1,008	413655	203
1655,628	5,504	413907	1
166,268	4,016	41567	200
1661,132	1,008	415283	101
1662,14	4	415535	200
1666,14	3,984	416535	201
1670,124	1,008	417531	202
1671,132	1,008	417783	203
1672,14	14,992	418035	1
1687,132	4,016	421783	200
1691,148	4	422787	201
1695,148	0,992	423787	202
1696,14	1,008	424035	203
1697,148	3,568	424287	1
170,284	3,984	42571	201
1700,716	1,008	425179	101
1701,724	4	425431	200
1705,724	4	426431	201
1709,724	0,992	427431	202
1710,716	1,008	427679	203
1711,724	3,472	427931	2
1715,196	0,992	428799	102
1716,188	4	429047	200
1720,188	4	430047	201
1724,188	1,024	431047	202
1725,212	0,992	431303	203
1726,204	15,008	431551	1
174,268	2	43567	202
1741,212	3,984	435303	200
1745,196	4,016	436299	201
1749,212	0,992	437303	202
1750,204	1,008	437551	203
1751,212	11,488	437803	1
176,268	1,008	44067	203
1762,7	0,992	440675	101
1763,692	4	440923	200
1767,692	4	441923	201
177,276	4,032	44319	2
1771,692	1,008	442923	202
1772,7	0,992	443175	203
1773,692	15,008	443423	1
1788,7	4	447175	200
1792,7	4	448175	201
1796,7	1,008	449175	202
1797,708	0,992	449427	203
1798,7	3,488	449675	2
1802,188	0,992	450547	102
1803,18	4	450795	200
1807,18	4	451795	201
181,308	4	45327	200
1811,18	0,992	452795	202
1812,172	1,008	453043	203
1813,18	3,552	453295	2
1816,732	1,008	454183	102
1817,74	3,984	454435	200
1821,724	4,016	455431	201
1825,74	1,008	456435	202
1826,748	0,992	456687	203
1827,74	9,504	456935	2
1837,244	1,008	459311	102
1838,252	4	459563	200
1842,252	4	460563	201
1846,252	0,992	461563	202
1847,244	1,008	461811	203
1848,252	3,488	462063	2
185,308	4	46327	201
1851,74	0,992	462935	102
1852,732	4	463183	200
1856,732	4,016	464183	201
1860,748	0,992	465187	202
1861,74	1,008	465435	203
1862,748	3,568	465687	2
1866,316	0,992	466579	102
1867,308	9,008	466827	200
1876,316	3,984	469079	201
1880,3	2,016	470075	202
1882,316	1,008	470579	203
1883,324	4	470831	3
1887,324	4	471831	200
189,308	2	47327	202
1891,324	4	472831	201
1895,324	2,016	473831	202
1897,34	1,008	474335	203
1898,348	4	474587	4
1902,348	4	475587	200
1906,348	4,016	476587	201
191,308	1,008	47827	203
1910,364	2	477591	202
1912,364	1,008	478091	203
1913,372	4	478343	4
1917,372	4	479343	200
192,316	4	48079	2
1921,372	4	480343	201
1925,372	2,016	481343	202
1927,388	0,992	481847	203
1928,38	4,016	482095	3
1932,396	4,016	483099	200
1936,412	3,984	484103	201
1940,396	2	485099	202
1942,396	1,024	485599	203
1943,42	4	485855	3
1947,42	4	486855	200
1951,42	4,016	487855	201
1955,436	2	488859	202
1957,436	1,008	489359	203
1958,444	4	489611	4
196,316	4	49079	200
1962,444	4	490611	200
1966,444	4	491611	201
1970,444	2	492611	202
1972,444	1,008	493111	203
1973,452	4,016	493363	3
1977,468	4	494367	200
1981,468	4,016	495367	201
1985,484	1,984	496371	202
1987,468	1,008	496867	203
1988,476	4,032	497119	4
1992,508	4	498127	200
1996,508	3,984	499127	201
20,028	4,016	5007	201
200,316	4	50079	201
2000,492	2,016	500123	202
2002,508	1,008	500627	203
2003,516	4,016	500879	3
2007,532	3,984	501883	200
2011,516	4	502879	201
2015,516	2	503879	202
2017,516	1,024	504379	203
2018,54	4	504635	3
2022,54	4,016	505635	200
2026,556	4	506639	201
2030,556	2	507639	202
2032,556	1,008	508139	203
2033,564	4,016	508391	4
2037,58	4	509395	200
204,316	2,016	51079	202
2041,58	4	510395	201
2045,58	2	511395	202
2047,58	1,024	511895	203
2048,604	4	512151	3
2052,604	4	513151	200
2056,604	4	514151	201
206,332	0,992	51583	203
2060,604	2	515151	202
2062,604	1,024	515651	203
2063,628	4,016	515907	3
2067,644	4	516911	200
207,324	4,016	51831	2
2071,644	4	517911	201
2075,644	2	518911	202
2077,644	1,008	519411	203
2078,652	4,016	519663	4
2082,668	3,984	520667	200
2086,652	4,016	521663	201
2090,668	2	522667	202
2092,668	1,008	523167	203
2093,676	4	523419	3
2097,676	4,016	524419	200
2101,692	3,984	525423	201
2105,676	2,016	526419	202
2107,692	1,008	526923	203
2108,7	4,016	527175	4
211,34	4	52835	200
2112,716	4	528179	200
2116,716	3,984	529179	201
2120,7	2,016	530175	202
2122,716	1,024	530679	203
2123,74	4	530935	3
2127,74	4	531935	200
2131,74	3,984	532935	201
2135,724	2,016	533931	202
2137,74	1,008	534435	203
2138,748	4,016	534687	4
2142,764	4	535691	200
2146,764	4	536691	201
215,34	4	53835	201
2150,764	2	537691	202
2152,764	1,024	538191	203
2153,788	3,984	538447	4
2157,772	4,016	539443	200
2161,788	4	540447	201
2165,788	2	541447	202
2167,788	1,008	541947	203
2168,796	4,016	542199	4
2172,812	4	543203	200
2176,812	4	544203	201
2180,812	2,016	545203	202
2182,828	0,992	545707	203
2183,82	4,016	545955	3
2187,836	4	546959	200
219,34	2	54835	202
2191,836	4	547959	201
2195,836	2	548959	202
2197,836	1,008	549459	203
2198,844	4	549711	3
2202,844	4,016	550711	200
2206,86	4	551715	201
221,34	1,008	55335	203
2210,86	2	552715	202
2212,86	1,008	553215	203
2213,868	4	553467	4
2217,868	4	554467	200
222,348	4,016	55587	1
2221,868	4	555467	201
2225,868	2	556467	202
2227,868	1,008	556967	203
2228,876	4,016	557219	4
2232,892	4	558223	200
2236,892	4	559223	201
2240,892	2	560223	202
2242,892	1,024	560723	203
2243,916	4	560979	4
2247,916	4	561979	200
2251,916	4	562979	201
2255,916	2	563979	202
2257,916	1,008	564479	203
2258,924	4,016	564731	3
226,364	4	56591	200
2262,94	4	565735	200
2266,94	4,016	566735	201
2270,956	2	567739	202
2272,956	1,008	568239	203
2273,964	4,016	568491	3
2277,98	4,016	569495	200
2281,996	3,984	570499	201
2285,98	2	571495	202
