onset	duration	sample	value
482,764	4	120691	1
486,764	4	121691	200
490,764	4	122691	201
494,764	2	123691	202
496,764	1,024	124191	203
497,788	3,984	124447	2
5,02	3,984	1255	201
50,076	4	12519	201
501,772	4,016	125443	200
505,788	4	126447	201
509,788	2	127447	202
511,788	1,024	127947	203
512,812	4	128203	1
516,812	4	129203	200
520,812	4	130203	201
524,812	2	131203	202
526,812	1,008	131703	203
527,82	4,016	131955	2
531,836	4	132959	200
535,836	4	133959	201
539,836	2	134959	202
54,076	2	13519	202
541,836	1,024	135459	203
542,86	4	135715	1
546,86	4,016	136715	200
550,876	3,984	137719	201
554,86	2,016	138715	202
556,876	0,992	139219	203
557,868	4,016	139467	2
56,076	1,008	14019	203
561,884	4	140471	200
565,884	4	141471	201
569,884	2	142471	202
57,084	4,016	14271	1
571,884	1,008	142971	203
572,892	4,016	143223	2
576,908	4	144227	200
580,908	4	145227	201
584,908	2,016	146227	202
586,924	1,008	146731	203
587,932	4,016	146983	1
591,948	4	147987	200
595,948	3,984	148987	201
599,932	2,016	149983	202
601,948	0,992	150487	203
602,94	4,016	150735	1
606,956	4	151739	200
61,1	4	15275	200
610,956	4	152739	201
614,956	2,016	153739	202
616,972	0,992	154243	203
617,964	4,016	154491	2
621,98	4	155495	200
625,98	4	156495	201
629,98	2,016	157495	202
631,996	0,992	157999	203
632,988	4,016	158247	1
637,004	4,016	159251	200
641,02	3,984	160255	201
645,004	2	161251	202
647,004	1,008	161751	203
648,012	4,016	162003	1
65,1	3,984	16275	201
652,028	4	163007	200
656,028	4	164007	201
660,028	2	165007	202
662,028	1,008	165507	203
663,036	4,016	165759	2
667,052	4	166763	200
671,052	4	167763	201
675,052	2	168763	202
677,052	1,024	169263	203
678,076	4	169519	1
682,076	4	170519	200
686,076	4	171519	201
69,084	2,016	17271	202
690,076	2	172519	202
692,076	1,008	173019	203
693,084	4	173271	2
697,084	4,016	174271	200
701,1	3,984	175275	201
705,084	2,016	176271	202
707,1	1,008	176775	203
708,108	4	177027	2
71,1	1,008	17775	203
712,108	4,016	178027	200
716,124	3,984	179031	201
72,108	4	18027	2
720,108	2,016	180027	202
722,124	1,008	180531	203
723,132	4,016	180783	1
727,148	4	181787	200
731,148	4	182787	201
735,148	2	183787	202
737,148	1,008	184287	203
738,156	4,016	184539	2
742,172	4	185543	200
746,172	4	186543	201
750,172	2	187543	202
752,172	1,008	188043	203
753,18	4,016	188295	1
757,196	4	189299	200
76,108	4	19027	200
761,196	4	190299	201
765,196	2	191299	202
767,196	1,024	191799	203
768,22	4	192055	1
772,22	4	193055	200
776,22	4	194055	201
780,22	2	195055	202
782,22	1,024	195555	203
783,244	4	195811	1
787,244	4	196811	200
791,244	4,016	197811	201
795,26	2	198815	202
797,26	0,992	199315	203
798,252	4,016	199563	2
80,108	4,016	20027	201
802,268	4,016	200567	200
806,284	3,984	201571	201
810,268	2	202567	202
812,268	1,008	203067	203
813,276	4,016	203319	2
817,292	4	204323	200
821,292	4,016	205323	201
825,308	1,984	206327	202
827,292	1,024	206823	203
828,316	4	207079	2
832,316	4	208079	200
836,316	4	209079	201
84,124	2	21031	202
840,316	2	210079	202
842,316	1,024	210579	203
843,34	4,016	210835	1
847,356	3,984	211839	200
851,34	4,016	212835	201
855,356	2	213839	202
857,356	1,008	214339	203
858,364	4	214591	1
86,124	0,992	21531	203
862,364	4,016	215591	200
866,38	3,984	216595	201
87,116	4,016	21779	1
870,364	2,016	217591	202
872,38	1,024	218095	203
873,404	4	218351	2
877,404	4	219351	200
881,404	3,984	220351	201
885,388	2,016	221347	202
887,404	1,008	221851	203
888,412	4,016	222103	1
892,428	4	223107	200
896,428	3,984	224107	201
9,004	2,016	2251	202
900,412	2,032	225103	202
902,444	0,992	225611	203
903,436	4	225859	2
907,436	8,992	226859	200
91,132	4,016	22783	200
916,428	4	229107	201
920,428	2	230107	202
922,428	1,008	230607	203
923,436	4,016	230859	2
927,452	4	231863	200
931,452	4	232863	201
935,452	2,016	233863	202
937,468	0,992	234367	203
938,46	4,016	234615	1
942,476	4	235619	200
946,476	3,984	236619	201
95,148	4	23787	201
950,46	2,016	237615	202
952,476	1,008	238119	203
953,484	4,016	238371	1
957,5	4	239375	200
961,5	4	240375	201
965,5	2	241375	202
967,5	1,008	241875	203
968,508	4,016	242127	2
972,524	3,984	243131	200
976,508	4	244127	201
980,508	2,016	245127	202
982,524	0,992	245631	203
983,516	4,016	245879	2
987,532	4	246883	200
99,148	1,984	24787	202
991,532	4,016	247883	201
995,548	2	248887	202
997,548	1,008	249387	203
998,556	4	249639	1
